"","Name","Subject","TrialBlock","NumberOfSucceedTrials","NumberOfFailedTrials","PercentOfSuccess"
"165","No","7","3",29,0,100
"166","Yes","7","3",20,0,100
"167","No","8","3",24,0,100
"168","Yes","8","3",28,0,100
"169","No","9","3",28,0,100
"170","Yes","9","3",29,0,100
"171","No","10","3",19,0,100
"172","Yes","10","3",30,0,100
"173","No","11","3",24,0,100
"174","Yes","11","3",27,0,100
"175","No","12","3",28,0,100
"176","Yes","12","3",23,0,100
"177","No","13","3",18,1,94.74
"178","Yes","13","3",27,0,100
"179","No","14","3",13,0,100
"180","Yes","14","3",30,0,100
"181","No","15","3",26,0,100
"182","Yes","15","3",22,0,100
"183","No","16","3",24,0,100
"184","Yes","16","3",22,0,100
"185","No","17","3",21,0,100
"186","Yes","17","3",23,0,100
"187","No","18","3",19,1,95
"188","Yes","18","3",26,0,100
"189","No","20","3",35,0,100
"190","Yes","20","3",25,0,100
"191","No","21","3",28,0,100
"192","Yes","21","3",17,0,100
"193","No","22","3",23,0,100
"194","Yes","22","3",23,0,100
"195","No","24","3",24,0,100
"196","Yes","24","3",30,0,100
"197","No","25","3",22,0,100
"198","Yes","25","3",32,0,100
"199","No","26","3",30,0,100
"200","Yes","26","3",23,0,100
"201","No","27","3",31,0,100
"202","Yes","27","3",21,0,100
"203","No","28","3",32,0,100
"204","Yes","28","3",24,0,100
"205","No","29","3",16,0,100
"206","Yes","29","3",27,0,100
"207","No","30","3",26,0,100
"208","Yes","30","3",32,0,100
"209","No","32","3",23,0,100
"210","Yes","32","3",18,0,100
"211","No","33","3",28,0,100
"212","Yes","33","3",24,0,100
"213","No","34","3",24,4,85.71
"214","Yes","34","3",27,0,100
"215","No","35","3",27,0,100
"216","Yes","35","3",24,0,100
"217","No","36","3",16,0,100
"218","Yes","36","3",30,0,100
"219","No","37","3",20,0,100
"220","Yes","37","3",27,0,100
"221","No","38","3",19,0,100
"222","Yes","38","3",25,1,96.15
"223","No","39","3",24,0,100
"224","Yes","39","3",27,0,100
"225","No","40","3",30,0,100
"226","Yes","40","3",18,0,100
"227","No","1922222","3",23,0,100
"228","Yes","1922222","3",29,0,100
