"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"26",18,18,"Male",9102018,2,"controllerRenderer_I","GROWING","UNT","Yes","MOVE","True",0.5444446,1.588892,1.566669,1,1.044,-0.022,0.025,0.113,-0.09,-0.143,-1.094,-0.499,-0.115,-0.189,-1.004,-0.519
"27",21,18,"Female",9102018,2,"controllerRenderer_B","SNOWING","UNT","Yes","USE","True",0.6000003,1.788892,2.400001,1,1.189,0.611,0.08,0.365,0.11,0.176,-0.26,-0.119,0.03,0.05,-0.37,-0.192
"28",24,19,"Female",21102018,2,"controllerRenderer_B","BLACKHOLE","NoName2","No","MOVE","True",0.5222223,1.511114,1.677781,1,0.989,0.167,0.003,0.012,-0.167,-0.266,-0.983,-0.449,-0.17,-0.28,-0.816,-0.422
"29",25,20,"Female",12102018,2,"controllerRenderer_B","VANISHING","NoName2","No","MOVE","True",0.3555556,2.366668,2.422223,1,2.011,0.056,-0.164,-0.745,0.688,1.096,-0.238,-0.109,0.852,1.405,-0.926,-0.479
"30",26,18,"Female",15102018,2,"controllerRenderer_A","VANISHING","NoName3","No","USE","True",0.4333333,2.755553,3.499992,1,2.322,0.744,-0.086,-0.392,1.077,1.715,0.84,0.383,1.163,1.918,-0.237,-0.123
"31",27,19,"Female",15102018,2,"controllerRenderer_G","VANISHING","NoName2","No","MOVE","True",0.5666668,1.76667,1.877781,1,1.2,0.111,0.047,0.214,0.088,0.141,-0.783,-0.357,0.041,0.068,-0.871,-0.451
"32",28,31,"Female",17102018,2,"controllerRenderer_G","VANISHING","LUM","Yes","MOVE","True",1.044446,2.077781,2.17778,1,1.033,0.1,0.525,2.384,0.399,0.636,-0.483,-0.22,-0.126,-0.207,-0.882,-0.456
"33",30,19,"Female",18102018,2,"controllerRenderer_B","CREATING","NoName2","No","MOVE","True",0.3888889,2.222224,5.311116,1,1.833,3.089,-0.131,-0.594,0.544,0.866,2.651,1.21,0.675,1.112,2.107,1.09
"34",32,20,"Female",19102018,2,"controllerRenderer_I","SNOWING","UNT","Yes","USE","True",0.8222231,2.655554,3.466659,1,1.833,0.811,0.303,1.375,0.977,1.556,0.806,0.368,0.674,1.112,-0.171,-0.088
"35",35,19,"Female",6112018,2,"controllerRenderer_B","GROWING","SNI","Yes","MOVE","True",1.044446,1.900004,1.944448,1,0.856,0.044,0.525,2.384,0.222,0.353,-0.716,-0.327,-0.303,-0.499,-0.938,-0.485
"36",36,20,"Female",6112018,2,"controllerRenderer_A","SNOWING","NoName3","No","USE","True",0.5222223,2.811108,4.566662,1,2.289,1.756,0.003,0.012,1.133,1.804,1.906,0.87,1.13,1.863,0.773,0.401
"37",37,21,"Female",7112018,2,"controllerRenderer_C","CREATING","NoName2","No","USE","True",0.4555556,1.777781,5.633343,1,1.322,3.856,-0.064,-0.291,0.099,0.158,2.973,1.357,0.163,0.269,2.874,1.487
